time; signal
9.759999999999977027e-05;1.915359238199999758e+00
9.780000000000031724e-05;1.914660419199999852e+00
9.799999999999912947e-05;1.913961600199999946e+00
9.819999999999967644e-05;1.913262781199999818e+00
9.840000000000022340e-05;1.912563962199999690e+00
9.859999999999903564e-05;1.911865143199999784e+00
9.879999999999958260e-05;1.911166324199999877e+00
9.900000000000012956e-05;1.910467505199999749e+00
9.919998999999811440e-05;1.909768686199999621e+00
9.939999000000039608e-05;1.908720457599999865e+00
9.959998999999920832e-05;1.907672229000000108e+00
9.979998999999975529e-05;1.906624000400000130e+00
9.999999000000030225e-05;1.905925181400000001e+00
1.001999900000008492e-04;1.904876952800000023e+00
1.003999899999996614e-04;1.903828724200000266e+00
1.005999899999984737e-04;1.902780495600000066e+00
1.007999900000007554e-04;1.901732267000000087e+00
1.009999899999995676e-04;1.900684038400000109e+00
1.011999900000001146e-04;1.899635809800000130e+00
1.013999899999989268e-04;1.898238171600000079e+00
1.015999900000012085e-04;1.897189942999999879e+00
1.017999900000000207e-04;1.895792304800000050e+00
1.019999899999988330e-04;1.894394666599999999e+00
1.021999899999993799e-04;1.892997028399999948e+00
1.023999899999999269e-04;1.891599390199999897e+00
1.025999900000004739e-04;1.890201751999999846e+00
1.027999899999992861e-04;1.888804113800000017e+00
1.029999899999998331e-04;1.887057066000000116e+00
1.031999900000003800e-04;1.885310018199999993e+00
1.033999899999991923e-04;1.883562970399999870e+00
1.035999899999997392e-04;1.881815922599999968e+00
1.037999899999985515e-04;1.880068874800000067e+00
1.039999900000008332e-04;1.878321826999999944e+00
1.041999899999996454e-04;1.876225369600000192e+00
1.043999899999984576e-04;1.874128912200000441e+00
1.045999900000007393e-04;1.872381864400000318e+00
1.047999899999995516e-04;1.870634816600000194e+00
1.049999900000000985e-04;1.868887768800000071e+00
1.051999899999989108e-04;1.867140721000000170e+00
1.053999900000011924e-04;1.865393673200000269e+00
1.055999900000000047e-04;1.863297215800000295e+00
1.057999899999988169e-04;1.861200758400000321e+00
1.059999899999993639e-04;1.859104301000000348e+00
1.061999899999999109e-04;1.857357252999999986e+00
1.063999900000004578e-04;1.855260795600000012e+00
1.065999899999992701e-04;1.852813698400000098e+00
1.067999899999998170e-04;1.850366601200000183e+00
1.069999900000003640e-04;1.847919504000000268e+00
1.071999899999991762e-04;1.845472406800000353e+00
1.073999899999997232e-04;1.843374719000000272e+00
1.075999899999985354e-04;1.841277031200000192e+00
1.077999900000008171e-04;1.838829933800000260e+00
1.079999899999996293e-04;1.836382836400000329e+00
1.081999900000001763e-04;1.833586331800000080e+00
1.083999900000007233e-04;1.831139234399999927e+00
1.085999899999995355e-04;1.828692136999999995e+00
1.087999900000000825e-04;1.825895632399999968e+00
1.089999899999988947e-04;1.823099127799999941e+00
1.091999900000011764e-04;1.819953213600000064e+00
1.093999899999999886e-04;1.817506118600000109e+00
1.095999899999988009e-04;1.815059023599999932e+00
1.097999899999993478e-04;1.812262519000000127e+00
1.099999899999998948e-04;1.809116604800000250e+00
1.101999900000004418e-04;1.806320100200000223e+00
1.103999899999992540e-04;1.803523595600000196e+00
1.105999899999998010e-04;1.800727091000000168e+00
1.107999900000003479e-04;1.797581176800000069e+00
1.109999899999991602e-04;1.794085852999999897e+00
1.111999899999997071e-04;1.791289348399999870e+00
1.113999899999985194e-04;1.788492843800000065e+00
1.115999900000008010e-04;1.785346929599999966e+00
1.117999899999996133e-04;1.782201015400000088e+00
